 Area Code, M49 Code, Area
2,'004,Afghanistan
5100,'002,Africa
51000,'002.03,Africa (excluding intra-trade)
3,'008,Albania
4,'012,Algeria
5,'016,American Samoa
5200,'019,Americas
52000,'019.03,Americas (excluding intra-trade)
6,'020,Andorra
7,'024,Angola
258,'660,Anguilla
8,'028,Antigua and Barbuda
9,'032,Argentina
1,'051,Armenia
22,'533,Aruba
187,'654,Ascension; Saint Helena and Tristan da Cunha
5300,'142,Asia
53000,'142.03,Asia (excluding intra-trade)
10,'036,Australia
5501,'053,Australia and New Zealand
55010,'053.03,Australia and New Zealand (excluding intra-trade)
11,'040,Austria
52,'031,Azerbaijan
12,'044,Bahamas
13,'048,Bahrain
16,'050,Bangladesh
14,'052,Barbados
57,'112,Belarus
255,'056,Belgium
15,'058,Belgium-Luxembourg
23,'084,Belize
53,'204,Benin
17,'060,Bermuda
18,'064,Bhutan
19,'068,Bolivia (Plurinational State of)
80,'070,Bosnia and Herzegovina
20,'072,Botswana
21,'076,Brazil
239,'092,British Virgin Islands
26,'096,Brunei Darussalam
27,'100,Bulgaria
233,'854,Burkina Faso
29,'108,Burundi
35,'132,Cabo Verde
115,'116,Cambodia
32,'120,Cameroon
33,'124,Canada
5206,'029,Caribbean
52060,'029.03,Caribbean (excluding intra-trade)
36,'136,Cayman Islands
37,'140,Central African Republic
5204,'013,Central America
52040,'013.03,Central America (excluding intra-trade)
5301,'143,Central Asia
53010,'143.03,Central Asia (excluding intra-trade)
39,'148,Chad
259,'830,Channel Islands
40,'152,Chile
351,'159,China
96,'344,China; Hong Kong SAR
128,'446,China; Macao SAR
41,'156,China; mainland
214,'158,China; Taiwan Province of
44,'170,Colombia
45,'174,Comoros
46,'178,Congo
47,'184,Cook Islands
48,'188,Costa Rica
107,'384,Côte d'Ivoire
98,'191,Croatia
49,'192,Cuba
50,'196,Cyprus
167,'203,Czechia
51,'200,Czechoslovakia
116,'408,Democratic People's Republic of Korea
250,'180,Democratic Republic of the Congo
54,'208,Denmark
72,'262,Djibouti
